"","ID","Lively","FullOfEnergy","Energetic","Happy","Pleased","Helpful","AtEase","Calm","Relaxed","Sad","Depressed","Unhappy","OnEdge","Nervous","Tense","Hostile","Resentful","Angry"
"1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",7,0.270668128435149,0.307398579220366,0.284403040870656,0.213243987782963,0.262008733751612,0.253514269497673,0.277579006526893,0.241012035580496,0.228162351623055,0.154523528885761,0.133231490443559,0.227079927145041,0.24231151024212,0.22892715066982,0.338805878850387,0.228867615136552,0.260808003218514,0.282031638179828
"5",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",11,0.284822275674681,0.229081636609761,0.284702159200024,0.26945685371432,0.218904001421354,0.216318762852341,0.291152434064932,0.405256920128574,0.40667001559048,0.242490265625303,0.232223256000054,0.267451589585925,0.343281066599289,0.407411093520888,0.37482040676689,0.140350199129859,0.0445045935029943,0.0996643456089974
"8",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",17,0.355535563062667,0.245363358449644,0.212766738744143,0.195385949169232,0.330763467699294,0.133225556883943,0.205264270301949,0.461955100388709,0.30627706305202,0.108749001646537,0.231619933947712,0.28249512039826,0.109400675306983,0.195483824217691,0.130651248599736,0.0503961215447074,0.108035454302679,0.0642343187985149
"12",18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",20,0.226992902414124,0.240552330201517,0.257943449339318,0.278690577192781,0.233287460603805,0.350225817590412,0.309949698119822,0.325734793783062,0.362950891784006,0.254582473135779,0.254317451388208,0.235003583287674,0.150731140731921,0.236743304602429,0.218818849243063,0.254296513269388,0.000798286117179482,0.159041929629017
"14",21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",22,0.120349106135925,0.00152451862401862,0.0794021796551265,0.187158953639055,0.100366083616331,0.0146180977804583,0.0496671610856188,0.132745007541976,0.110249866763791,0.261208608927615,0.14419711327411,0.295883086117261,0.178174161275024,0.245434946827208,0.228993450916901,0.0720202275701696,0.361848039450871,0.237799683924563
"16",24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",28,0.296910879995709,0.322324369132904,0.327745556024985,0.217807127353972,0.212175760743934,0.351848235897809,0.182027420961142,0.275248543412049,0.18649465193133,0.000200261595569804,0.115179855010653,0.115179855010653,0.144743685807963,0.149366013090306,0.181398230478606,0.00426362322554446,0.00486223191836232,0.108481264164002
"21",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",30,0.0162255296509635,0.0353197742038012,0.0956646764547747,0.342105244345153,0.240099860082296,0.0164073043666448,0.130095610534069,0.193472188829385,0.217150423260023,0.104158687998607,0.0829766076103159,0.0999772959403729,0.0492219130999275,0.0493777019898327,0.0467077326172357,0.0492219130999275,0.0820365218332125,0.0656292174665705
"23",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",36,0.238648752440161,0.268172900072278,0.277237216600695,0.191323070949507,0.154761213374975,0.229522150388848,0.272872759581396,0.166767805832143,0.235058674346573,0.0368596637545259,0.00326016166958827,0.116297591760402,0.189031678384405,0.0724398109238481,0.125073143075149,0.00746977117159165,0.00746977117159165,0.00746977117159165
"28",37,0.362721214521216,0.325659998447126,0.419409428823878,0.292327274726554,0.373504546870857,0.515070916399234,0.484161400061403,0.39375925231147,0.441796605048673,0.0957382055550574,0.0662826762459195,0.240886210887787,0.265134832501351,0.304125909441136,0.225201862158122,0.05886824772675,0.124606939866915,0.338215525031448
"29",38,0.16181840863056,0.249190187912933,0.226960612671695,0.091060573048523,0.139907545335325,0.137964337877252,0.268884169247094,0.0949788091427686,0.0907842450686824,0.0226960612671709,0.0453921225343419,0.0699629805861994,0.0680881838015104,0.135829584298035,0.13617636760302,0.0699629805861994,0.0453921225343419,0.0453921225343419
"30",39,0.325139956816049,0.455813023887823,0.351958740234549,0.233575060980696,0.312107259125905,0.279037884952323,0.453383224750928,0.352133458150081,0.223916106502185,0.233802102531931,0.00316475965837929,0.114378860009299,0.235272319740317,0.252924016599502,0.378898448586677,0.00163697328500793,0.00106218917242122,0.00638800352021277
"31",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",41,0.0511303989744985,0.0222582292060787,0.0202023376497478,0.0740740740740741,0.0865792549354814,0.037037037037037,0.0925925925925924,0.037037037037037,0.0511303989744985,0.0141189287222642,0.00967770359086558,0.120921905097155,0.0166536287465769,0.018536115197251,0.0441812448707444,0.00967770359086558,0.00893949235301683,0.00893949235301683
"33",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",45,0.226864110715889,0.289705494229845,0.308135360264572,0.278355828521647,0.206406212258312,0.0279991175964695,0.402538610968397,0.346388365997725,0.401773153358717,0.357318375846297,0.257250282088006,0.232775922267947,0.0343119470307101,0.265124176894661,0.03187293044459,0.1146103776282,0.178091858174899,0.1146103776282
"37",46,0.155634214920027,0.174804559353335,0.171421998792567,0.174079572080174,0.138696956138781,0.231537657839183,0.0592560098599466,0.103535525040905,0.168776388340876,0.173504302253319,0.179458560342897,0.217813842250005,0.121545632195953,0.190478153821149,0.0939508046557372,0.309966591598914,0.253028593111112,0.0600364357327208
"38",47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",50,0.45261699816855,0.379637155952012,0.286468979660724,0.370245723953322,0.421456200220294,0.266203947106129,0.47266428529228,0.395505121067249,0.401515331486086,0.245342913567005,0.405861840638123,0.238048703377905,0.312076756356431,0.35655145660093,0.360467886805888,0.316552086776635,0.362735245338413,0.446246837223468
"42",51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",62,0.233322477968789,0.192060673110235,0.212110397642048,0.23882494245491,0.234999254829626,0.226836608648019,0.140920514082713,0.252029188947139,0.289045503470251,0.118949301020488,0.153578091192978,0.170655293268557,0.16061726692615,0.254301594259907,0.069715054468076,0.219261563576281,0.15849871265291,0.0781406640082495
"51",63,0.110393500204879,0.212183734198756,0.262088850912349,0.298556500036734,0.216953208268011,0.212184087829867,0.305994571351693,0.413975069836734,0.355034784702019,0.274874428172334,0.444406664076451,0.315485347735542,0.18399085790108,0.277104521701646,0.25265619155067,0.23864072207883,0.23864072207883,0.222767611119653
"52",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",65,0.277307578298289,0.323984173032155,0.302545707966443,0.369823304422147,0.300708931391263,0.351062801332496,0.243687979481635,0.17930201453311,0.333608157997451,0.0699933202344794,0.133795007939464,0.129388901048803,0.134858214971387,0.235556392434729,0.19019242750803,0.00955388300550247,0.0345382254173776,0.0592344189760127
"54",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",70,0.319474656922235,0.174231823785802,0.308847311955238,0.280844582949851,0.290194329573224,0.254608720742239,0.213833721261146,0.298020041385318,0.286707110392414,0.356605514573635,0.285284411658908,0.322222743305992,0.217052295362375,0.163411029752417,0.185899486977609,0.107450590183698,0.21400026759394,0.180164901705281
"59",71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
